pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
NGTS-1 b,NGTS-1,1,1,Transit,2017,Paranal Observatory,0,2.647298,0.00002,-0.00002,0,0.0326,0.0047,-0.0045,0,14.908,6.837,-3.699,0,1.33,0.61,-0.33,0,258.07796,20.97678,-23.83725,0,0.812,0.066,-0.075,0,Mass,0.016,0.023,-0.012,0,65.3,5.1,-5.1,0,790,20,-20,0,0,M0.5,3916,71,-63,0,0.57,0.08,-0.08,0,0.62,0.02,-0.06,0,0,,,0,[M/H],4.71,0.23,-0.23,0,05h30m51.41s,82.7142134,-36d37m51.53s,-36.6309812,218.121,1.037,-1.037,15.667,0.137,-0.137,11.936,0.027,-0.027,14.8661,0.000487,-0.000487
NGTS-10 b,NGTS-10,1,1,Transit,2020,Paranal Observatory,0,0.7668944,0.0000003,-0.0000003,0,0.0143,0.001,-0.001,0,13.507,1.311,-0.93,0,1.205,0.117,-0.083,0,687.14846,29.24036,-34.00781,0,2.162,0.092,-0.107,0,Mass,0,,,0,,,,,1332,49,-54,0,0,K5 V,4600,150,-150,0,0.7,0.04,-0.04,0,0.7,0.04,-0.04,0,-0.02,0.12,-0.12,0,[M/H],4.59,0.02,-0.02,0,06h07m29.35s,91.8722801,-25d35m41.63s,-25.5948963,324.6986504,27.5222874,-27.5222874,14.506,0.114,-0.114,11.728,0.025,-0.025,14.2604,0.003377,-0.003377
NGTS-11 b,NGTS-11,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,35.45533,0.00019,-0.00019,0,0.201,0.0021,-0.0022,0,9.158,0.314,-0.359,0,0.817,0.028,-0.032,0,109.33352,29.24036,-23.20159,0,0.344,0.092,-0.073,0,Mass,0.13,0.1,-0.09,0,33.16,,,,435,34,-32,0,0,K,5050,80,-80,0,0.83,0.01,-0.01,0,0.86,0.03,-0.03,0,0.22,0.08,-0.08,0,[Fe/H],4.5,0.1,-0.1,0,01h34m05.15s,23.5214497,-14d25m08.94s,-14.4191493,190.422,1.777,-1.744,12.456,0.08,-0.08,10.315,0.025,-0.025,12.1895,0.000208,-0.000208
NGTS-12 b,NGTS-12,1,1,Transit,2020,Paranal Observatory,0,7.532806,0.000048,-0.000048,0,0.0757,0.0014,-0.0014,0,11.747,0.359,-0.359,0,1.048,0.032,-0.032,0,66.10864,6.99226,-6.99226,0,0.208,0.022,-0.022,0,Mass,0,,,0,416,46,-46,0,1257,34,-34,0,0,G,5690,130,-130,0,1.59,0.04,-0.04,0,1.02,0.06,-0.05,0,-0.03,0.11,-0.11,0,[Fe/H],4.04,0.04,-0.04,0,11h44m59.99s,176.2499418,-35d38m26.03s,-35.640563,446.442,7.706,-7.453,12.382,0.046,-0.046,10.588,0.021,-0.021,12.1279,0.000201,-0.000201
NGTS-13 b,NGTS-13,1,1,Transit,2021,Paranal Observatory,0,4.119027,0.000023,-0.000023,0,0.0549,0.0015,-0.0025,0,12.801,0.516,-0.516,0,1.142,0.046,-0.046,0,1538.2972,139.8452,-139.8452,0,4.84,0.44,-0.44,0,Mass,0.086,0.034,-0.034,0,1096,90,-90,0,1605,30,-30,0,0,,5819,73,-73,0,1.79,0.06,-0.06,0,1.3,0.11,-0.18,0,0.25,0.17,-0.17,0,[Fe/H],4.04,0.05,-0.05,0,11h44m57.66s,176.2402326,-38d08m22.98s,-38.1397158,647.595,15.059,-14.402,12.744,0.057,-0.057,11.141,0.021,-0.021,12.5691,0.000269,-0.000269
NGTS-14 A b,NGTS-14 A,2,1,Transit,2021,Paranal Observatory,0,3.5357173,0.0000069,-0.0000069,0,0.0403,0.0071,-0.0071,0,4.977,0.336,-0.336,0,0.444,0.03,-0.03,0,29.24036,3.81396,-3.81396,0,0.092,0.012,-0.012,0,Mass,0,,,0,,,,,1143,139,-139,0,0,K1 V,5187,11,-11,0,0.84,0.01,-0.01,0,0.9,0.04,-0.04,0,0.1,0.03,-0.03,0,[Fe/H],4.2,0.04,-0.04,0,21h54m04.20s,328.5174799,-38d22m38.71s,-38.3774193,322.148,3.632,-3.553,13.268,0.092,-0.092,11.305,0.027,-0.027,13.0986,0.000518,-0.000518
NGTS-2 b,NGTS-2,1,1,Transit,2018,Paranal Observatory,0,4.511164,0.000061,-0.000061,0,0.063,0.0024,-0.003,0,17.878,0.527,-0.504,0,1.595,0.047,-0.045,0,235.1942,41.3179,-38.1396,0,0.74,0.13,-0.12,0,Mass,0,,,0,,,,,1468,45,-42,0,0,F5 V,6478,94,-89,0,1.7,0.05,-0.04,0,1.64,0.19,-0.22,0,-0.06,0.09,-0.09,0,[Fe/H],4.2,0.03,-0.06,0,14h20m29.46s,215.1227617,-31d12m07.45s,-31.2020698,356.391,8.2,-7.845,10.789,0.009,-0.009,9.799,0.023,-0.023,10.8605,0.000505,-0.000505
NGTS-3 A b,NGTS-3 A,2,1,Transit,2018,Paranal Observatory,0,1.6753728,0.000003,-0.000003,0,0.023,0.007,-0.005,0,16.589,4.147,-4.147,0,1.48,0.37,-0.37,0,756.4354,82.6358,-82.6358,0,2.38,0.26,-0.26,0,Mass,,,,,,,,,,,,,0,G6 V,5600,150,-150,0,0.93,0.23,-0.23,0,1.02,0.09,-0.09,0,0.12,0.15,-0.15,0,[Fe/H],4.45,,,0,06h17m46.74s,94.4447595,-35d42m22.91s,-35.706364,743.972,10.892,-10.588,14.669,0.057,-0.057,12.814,0.03,-0.03,14.4878,0.000589,-0.000589
NGTS-4 b,NGTS-4,1,1,Transit,2019,Paranal Observatory,0,1.3373508,0.000008,-0.000008,0,0.019,0.005,-0.005,0,3.18,0.26,-0.26,0,0.284,0.023,-0.023,0,20.6,3,-3,0,0.06481,0.00944,-0.00944,0,Mass,0,,,0,,,,,1650,400,-400,0,0,,5143,100,-100,0,0.84,0.01,-0.01,0,0.75,0.02,-0.02,0,-0.28,0.1,-0.1,0,[M/H],4.5,0.1,-0.1,0,05h58m23.73s,89.5988945,-30d48m42.48s,-30.8117992,280.555,1.822,-1.799,13.138,0.046,-0.046,11.073,0.022,-0.022,12.9092,0.000236,-0.000236
NGTS-5 b,NGTS-5,1,1,Transit,2019,Paranal Observatory,0,3.3569866,0.0000026,-0.0000026,0,0.0382,0.0013,-0.0013,0,12.733,0.258,-0.258,0,1.136,0.023,-0.023,0,72.78307,11.75971,-11.75971,0,0.229,0.037,-0.037,0,Mass,0,,,0,,,,,952,24,-24,0,0,K2 V,4987,41,-41,0,0.74,0.01,-0.01,0,0.66,0.07,-0.06,0,0.12,0.1,-0.1,0,[Fe/H],4.52,0.04,-0.04,0,14h44m13.98s,221.0582692,+05d36m19.34s,5.6053735,306.779,2.601,-2.558,13.789,0.092,-0.092,11.612,0.025,-0.025,13.526,0.000352,-0.000352
NGTS-6 b,NGTS-6,1,1,Transit,2019,Paranal Observatory,0,0.882059,0.0000008,-0.0000008,0,0.01677,0.00032,-0.00032,0,14.863,1.087,-1.255,0,1.326,0.097,-0.112,0,425.57437,8.89924,-8.89924,0,1.339,0.028,-0.028,0,Mass,0,,,0,,,,,1284,12,-12,0,0,,4730,44,-40,0,0.75,0.01,-0.01,0,0.77,0.03,-0.03,0,0.11,0.09,-0.09,0,[Fe/H],4.7,1.1,-0.7,0,05h03m10.89s,75.795382,-30d23m58.06s,-30.3994612,308.262,1.418,-1.407,14.237,0.126,-0.126,11.65,0.032,-0.032,13.8175,0.000577,-0.000577
NGTS-8 b,NGTS-8,1,1,Transit,2019,Paranal Observatory,0,2.4997,0.00001,-0.00001,0,0.035,0.001,-0.001,0,12.218,0.336,-0.336,0,1.09,0.03,-0.03,0,295.5819,12.7132,-9.5349,0,0.93,0.04,-0.03,0,Mass,0.01,0.014,-0.01,0,503,33,-33,0,1345,19,-19,0,0,K0 V,5241,50,-50,0,0.98,0.02,-0.02,0,0.89,0.05,-0.04,0,0.24,0.09,-0.09,0,[Fe/H],4.41,0.03,-0.03,0,21h55m54.22s,328.9759206,-14d04m06.38s,-14.0684399,428.976,5.621,-5.481,13.69,0.103,-0.103,11.642,0.021,-0.021,13.4954,0.000304,-0.000304
NGTS-9 b,NGTS-9,1,1,Transit,2019,Paranal Observatory,0,4.43527,0.00002,-0.00002,0,0.058,0.003,-0.002,0,11.994,0.673,-0.673,0,1.07,0.06,-0.06,0,921.707,54.0311,-54.0311,0,2.9,0.17,-0.17,0,Mass,0.06,0.076,-0.052,0,729,80,-80,0,1448,36,-36,0,0,F8 V,6330,130,-130,0,1.38,0.04,-0.04,0,1.34,0.05,-0.05,0,0.31,0.15,-0.15,0,[Fe/H],4.37,0.2,-0.2,0,09h27m40.95s,141.9206435,-19d20m51.53s,-19.3476477,609.128,15.952,-15.171,12.868,0.057,-0.057,11.452,0.024,-0.024,12.6547,0.000237,-0.000237
NN Ser c,NN Ser,2,2,Eclipse Timing Variations,2010,Multiple Observatories,0,5573.55,102.2,-102.2,0,5.35,0.06,-0.06,0,12.6,,,0,1.13,,,0,2329.6,98.52,-98.52,0,7.33,0.31,-0.31,0,Mass,0.08,0.05,-0.05,0,,,,,,,,,0,WD,57000,,,0,,,,,0.54,,,0,,,,,,,,,,15h52m56.09s,238.2337015,+12d54m43.51s,12.9120871,515.818,28.166,-25.435,16.943,0.09,-0.09,16.168,0.286,-0.286,16.5905,0.020612,-0.020612
NN Ser d,NN Ser,2,2,Eclipse Timing Variations,2010,Multiple Observatories,0,2883.5,182.5,-182.5,0,3.43,0.14,-0.14,0,13.3,,,0,1.19,,,0,731,158.9,-158.9,0,2.3,0.5,-0.5,0,Mass,0.19,0.05,-0.05,0,,,,,,,,,0,WD,57000,,,0,,,,,0.54,,,0,,,,,,,,,,15h52m56.09s,238.2337015,+12d54m43.51s,12.9120871,515.818,28.166,-25.435,16.943,0.09,-0.09,16.168,0.286,-0.286,16.5905,0.020612,-0.020612
NSVS 14256825 b,NSVS 14256825,2,1,Eclipse Timing Variations,2019,Multiple Observatories,0,3225,22,-22,0,3.12,0.07,-0.07,0,12.3,,,0,1.1,,,0,4497.2945,50.8528,-50.8528,0,14.15,0.16,-0.16,0,Msini,0.12,0.02,-0.02,0,,,,,,,,,0,,40000,,,0,0.19,0.01,-0.01,0,0.42,0.07,-0.07,0,,,,,,5.5,0.03,-0.03,0,20h20m00.47s,305.001946,+04d37m56.54s,4.6323715,820.877,41.457,-41.457,13.296,0.115,-0.115,13.945,0.055,-0.055,13.2452,0.00433,-0.00433
NY Vir b,NY Vir,2,2,Eclipse Timing Variations,2011,Multiple Observatories,0,3160,62,-62,0,3.3,,,0,13.3,,,0,1.19,,,0,730.978,95.345,-95.345,0,2.3,0.3,-0.3,0,Mass,0.15,0.08,-0.08,0,,,,,,,,,0,,32780,200,-200,0,0.15,0,0,0,0.46,0.01,-0.01,0,,,,,,5.74,0,0,0,13h38m48.14s,204.7005847,-02d01m49.39s,-2.0303873,544.024,18.8765,-18.8765,13.496,0.184,-0.184,14.635,0.095,-0.095,13.3943,0.005638,-0.005638
NY Vir c,NY Vir,2,2,Eclipse Timing Variations,2019,Winer Observatory,0,8799,240,-240,0,,,,,12.8,,,0,1.14,,,0,1760.7782,63.566,-63.566,0,5.54,0.2,-0.2,0,Msini,0.15,0.01,-0.01,0,,,,,,,,,0,,32780,200,-200,0,0.15,0,0,0,0.46,0.01,-0.01,0,,,,,,5.74,0,0,0,13h38m48.14s,204.7005847,-02d01m49.39s,-2.0303873,544.024,18.8765,-18.8765,13.496,0.184,-0.184,14.635,0.095,-0.095,13.3943,0.005638,-0.005638
OGLE-2003-BLG-235L b,OGLE-2003-BLG-235L,1,1,Microlensing,2004,OGLE,0,,,,,4.3,2.5,-0.8,0,13.2,,,0,1.18,,,0,830,300,-200,0,2.6,0.8,-0.6,0,Mass,,,,,,,,,,,,,0,K V,,,,,,,,,0.63,0.07,-0.09,0,,,,,,,,,,18h05m16.35s,271.318125,-28d53m42.0s,-28.895,5800,600,-700,,,,,,,,,
OGLE-2005-BLG-071L b,OGLE-2005-BLG-071L,1,1,Microlensing,2005,OGLE,0,,,,,3.6,0.2,-0.2,0,13,,,0,1.16,,,0,1200,100,-100,0,3.8,0.3,-0.4,0,Mass,,,,,,,,,55,,,0,0,,,,,,,,,,0.46,0.04,-0.04,0,,,,,,,,,,17h50m09.77s,267.540708,-34d40m23.5s,-34.6731944,3200,400,-400,,,,,,,,,
OGLE-2005-BLG-169L b,OGLE-2005-BLG-169L,1,1,Microlensing,2006,OGLE,0,,,,,3.5,0.3,-0.3,0,3.84,,,0,0.343,,,0,14.1,0.9,-0.9,0,0.0444,0.003,-0.003,0,Mass,,,,,,,,,,,,,0,K5,,,,,,,,,0.69,0.02,-0.02,0,,,,,,,,,,18h06m05.32s,271.522167,-30d43m57.5s,-30.7326389,4100,400,-400,22.783,0.067,-0.067,,,,,,
OGLE-2005-BLG-390L b,OGLE-2005-BLG-390L,1,1,Microlensing,2005,OGLE,0,3285,3285,-1095,0,2.6,1.5,-0.6,0,2.21,,,0,0.197,,,0,5.5,5.5,-2.7,0,0.017,0.017,-0.009,0,Mass,,,,,,,,,50,,,0,0,,,,,,,,,,0.22,0.21,-0.11,0,,,,,,,,,,17h54m19.2s,268.579958,-30d22m38s,-30.3773056,6600,1000,-1000,,,,,,,,,
OGLE-2006-BLG-109L b,OGLE-2006-BLG-109L,1,2,Microlensing,2008,OGLE,0,1788.5,584,-547.5,0,2.3,0.5,-0.5,0,14,,,0,1.25,,,0,231,19,-19,0,0.727,0.06,-0.06,0,Mass,,,,,,,,,82,12,-12,0,0,,,,,,,,,,0.51,0.05,-0.04,0,,,,,,,,,,17h52m34.51s,268.143792,-30d05m16.0s,-30.0877778,1510,110,-120,,,,,,,,,
OGLE-2006-BLG-109L c,OGLE-2006-BLG-109L,1,2,Microlensing,2008,OGLE,0,4927.5,3540.5,-1752,0,4.5,2.1,-1,0,11.1,,,0,0.994,,,0,86,7,-7,0,0.27,0.02,-0.02,0,Mass,0.15,0.17,-0.1,0,,,,,59,7,-7,0,0,,,,,,,,,,0.51,0.05,-0.04,0,,,,,,,,,,17h52m34.51s,268.143792,-30d05m16.0s,-30.0877778,1510,110,-120,,,,,,,,,
OGLE-2007-BLG-349L AB c,OGLE-2007-BLG-349L A,2,1,Microlensing,2016,OGLE,0,2557,,,0,2.59,0.43,-0.34,0,10.7,,,0,0.952,,,0,80,13,-13,0,0.3,0,0,0,Mass,,,,,,,,,,,,,0,M,,,,,,,,,0.41,0.07,-0.07,0,,,,,,,,,,18h05m24.43s,271.351807,-26d25m19.0s,-26.4219437,2760,380,-380,24.73,0.34,-0.34,,,,,,
OGLE-2007-BLG-368L b,OGLE-2007-BLG-368L,1,1,Microlensing,2009,OGLE,0,,,,,2.8,0.5,-0.6,0,4.72,,,0,0.421,,,0,20,7,-8,0,0.06,0.02,-0.03,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.64,0.21,-0.26,0,,,,,,,,,,17h56m25.96s,269.108167,-32d14m14.7s,-32.2374167,5900,900,-1400,17.71,0.18,,,,,,,
OGLE-2008-BLG-092L b,OGLE-2008-BLG-092L,2,1,Microlensing,2014,OGLE,0,,,,,15,,,0,8.74,,,0,0.78,,,0,57,,,0,0.18,,,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.71,,,0,,,,,,,,,,17h47m29.42s,267.540708,-34d43m35.6s,-34.6731944,8100,,,,,,,,,,,
OGLE-2008-BLG-355L b,OGLE-2008-BLG-355L,1,1,Microlensing,2014,OGLE,0,,,,,1.7,0.29,-0.3,0,12.9,,,0,1.15,,,0,1500,1200,-700,0,4.6,3.7,-2.2,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.37,0.3,-0.17,0,,,,,,,,,,17h59m08.81s,269.786708,-30d45m34.1s,-30.7594722,6800,1100,-1100,,,,,,,,,
OGLE-2011-BLG-0173L b,OGLE-2011-BLG-0173L,1,1,Microlensing,2018,OGLE,0,,,,,8,,,0,9.01,,,0,0.804,,,0,60,57,-35,0,0.19,0.18,-0.11,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.41,0.3,-0.21,0,,,,,,,,,,17h57m15.78s,269.315735,-28d14m01.9s,-28.2338619,6100,1300,-1700,,,,,,,,,
OGLE-2011-BLG-0251L b,OGLE-2011-BLG-0251L,1,1,Microlensing,2012,OGLE,0,,,,,2.72,0.75,-0.75,0,14.2,,,0,1.27,,,0,170,67,-67,0,0.53,0.21,-0.21,0,Mass,,,,,,,,,,,,,0,M,,,,,,,,,0.26,0.11,-0.11,0,,,,,,,,,,17h38m14.18s,264.559083,-27d08m10.1s,-27.1361389,2570,610,-610,,,,,,,,,
OGLE-2011-BLG-0265L b,OGLE-2011-BLG-0265L,1,1,Microlensing,2015,OGLE,0,,,,,1.89,0.25,-0.2,0,13.9,,,0,1.24,,,0,280,86,-57,0,0.88,0.27,-0.18,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.21,0.07,-0.04,0,,,,,,,,,,17h57m47.72s,269.448833,-27d23m40.3s,-27.3945278,4380,510,-450,,,,,,,,,
OGLE-2012-BLG-0026L b,OGLE-2012-BLG-0026L,1,2,Microlensing,2012,OGLE,0,,,,,4,0.5,-0.5,0,7.72,,,0,0.688,,,0,46.1,2.6,-2.6,0,0.145,0.0082,-0.0082,0,Mass,,,,,,,,,,,,,0,G5 V,,,,,,,,,1.06,0.05,-0.05,0,,,,,,,,,,17h34m18.70s,263.577917,-27d08m33.9s,-27.14275,4019,380,-380,20.66,,,,,,,,
OGLE-2012-BLG-0026L c,OGLE-2012-BLG-0026L,1,2,Microlensing,2012,OGLE,0,,,,,4.8,0.7,-0.7,0,13.9,,,0,1.24,,,0,270,20,-20,0,0.86,0.06,-0.06,0,Mass,,,,,,,,,,,,,0,G5 V,,,,,,,,,1.06,0.05,-0.05,0,,,,,,,,,,17h34m18.70s,263.577917,-27d08m33.9s,-27.14275,4019,380,-380,20.66,,,,,,,,
OGLE-2012-BLG-0358L b,OGLE-2012-BLG-0358L,1,1,Microlensing,2013,OGLE,0,,,,,0.87,0.03,-0.03,0,13.4,,,0,1.2,,,0,588,60,-60,0,1.85,0.19,-0.19,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.02,0,0,0,,,,,,,,,,17h42m46.77s,265.694875,-24d15m39.6s,-24.261,1760,130,-130,,,,,,,,,
OGLE-2012-BLG-0406L b,OGLE-2012-BLG-0406L,1,1,Microlensing,2013,OGLE,0,,,,,3.45,0.26,-0.26,0,13.2,,,0,1.18,,,0,868,140,-140,0,2.73,0.43,-0.43,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.44,0.07,-0.07,0,,,,,,,,,,17h53m18.17s,268.325708,-30d28m16.2s,-30.4711667,4970,290,-290,,,,,,,,,
OGLE-2012-BLG-0563L b,OGLE-2012-BLG-0563L,1,1,Microlensing,2015,OGLE,0,,,,,0.74,0.26,-0.42,0,13.6,,,0,1.21,,,0,120,44,-73,0,0.39,0.14,-0.23,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.34,0.12,-0.2,0,,,,,,,,,,18h05m57.72s,271.4905,-27d42m43.2s,-27.712,1300,600,-800,,,,,,,,,
OGLE-2012-BLG-0724L b,OGLE-2012-BLG-0724L,1,1,Microlensing,2016,OGLE,0,,,,,1.6,0.4,-0.3,0,14.3,,,0,1.27,,,0,150,170,-83,0,0.47,0.54,-0.26,0,Mass,,,,,,,,,,,,,0,M V,,,,,,,,,0.29,0.33,-0.16,0,,,,,,,,,,17h55m52.39s,268.968292,-29d49m6.7s,-29.8185278,6700,1100,-1200,,,,,,,,,
OGLE-2012-BLG-0838L b,OGLE-2012-BLG-0838L,1,1,Microlensing,2020,OGLE,0,,,,,4.43,0.71,-0.81,0,8.39,,,0,0.748,,,0,53.1,38.5,-260,0,0.167,0.121,-0.83,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.4,0.29,-0.2,0,,,,,,,,,,18h12m00.74s,273.003083,-25d42m41.80s,-25.7116111,6320,830,-1040,,,,,,,,,
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,1,1,Microlensing,2016,OGLE,0,,,,,2.6,0.3,-0.5,0,6.56,,,0,0.585,,,0,35,10,-6,0,0.11,0.03,-0.02,0,Mass,,,,,,,,,,,,,0,M V,,,,,,,,,0.57,0.06,-0.1,0,,,,,,,,,,18h08m04.62s,272.019257,-29d43m53.7s,-29.7315826,2600,500,-700,,,,,,,,,
OGLE-2013-BLG-0102L b,OGLE-2013-BLG-0102L,1,1,Microlensing,2014,OGLE,0,,,,,0.8,0.08,-0.08,0,12.3,,,0,1.1,,,0,4100,600,-600,0,13,2,-2,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.1,0.01,-0.01,0,,,,,,,,,,17h52m07.08s,268.0295,-31d41m26.1s,-31.6905833,3040,310,-310,,,,,,,,,
OGLE-2013-BLG-0132L b,OGLE-2013-BLG-0132L,1,1,Microlensing,2017,OGLE,0,,,,,3.6,1.4,-1.2,0,11.6,,,0,1.03,,,0,92,51,-41,0,0.29,0.16,-0.13,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.54,0.3,-0.23,0,,,,,,,,,,17h59m03.51s,269.764618,-28d25m15.7s,-28.4210281,3900,1500,-1300,,,,,,,,,
OGLE-2013-BLG-0341L B b,OGLE-2013-BLG-0341L B,2,1,Microlensing,2014,OGLE,0,,,,,0.702,0.022,-0.022,0,1.16,,,0,0.104,,,0,1.66,0.18,-0.18,0,0.00522,0.00057,-0.00057,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.11,0.01,-0.01,0,,,,,,,,,,17h52m07.49s,268.031208,-29d50m46.0s,-29.8461111,911,70,-70,,,,,,,,,
OGLE-2013-BLG-0911L b,OGLE-2013-BLG-0911L,1,1,Microlensing,2019,OGLE,0,,,,,0.39,0.05,-0.03,0,12.5,,,0,1.12,,,0,3020,864,-537,0,9.51,2.72,-1.69,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.29,0.07,-0.05,0,,,,,,,,,,17h55m31.98s,268.88325,-29h15m13.8s,-29.2538333,3220,470,-350,26.42,1.15,-1.13,19.64,0.78,-0.76,,,
OGLE-2013-BLG-1721L b,OGLE-2013-BLG-1721L,1,1,Microlensing,2017,OGLE,0,,,,,2.6,0.5,-0.7,0,14.1,,,0,1.26,,,0,200,110,-99,0,0.64,0.35,-0.31,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.46,0.26,-0.23,0,,,,,,,,,,17h52m30.37s,268.126556,-30d17m33.7s,-30.2926941,6300,1100,-1600,,,,,,,,,
OGLE-2013-BLG-1761L b,OGLE-2013-BLG-1761L,1,1,Microlensing,2018,OGLE,0,,,,,1.8,0.5,-0.5,0,13.2,,,0,1.18,,,0,860,790,-480,0,2.7,2.5,-1.5,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.33,0.32,-0.19,0,,,,,,,,,,17h53m38.28s,268.409485,-28d53m42.98s,-28.8952713,6900,1000,-1200,,,,,,,,,
OGLE-2014-BLG-0124L b,OGLE-2014-BLG-0124L,1,1,Microlensing,2015,OGLE,0,,,,,3.11,0.49,-0.49,0,14.2,,,0,1.27,,,0,160,51,-51,0,0.51,0.16,-0.16,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.71,0.22,-0.22,0,,,,,,,,,,18h02m29.21s,270.621708,-28d23m46.5s,-28.39625,4100,590,-590,,,,,,,,,
OGLE-2014-BLG-0676L b,OGLE-2014-BLG-0676L,1,1,Microlensing,2016,OGLE,0,,,,,4.4,2.16,-1.46,0,13.1,,,0,1.17,,,0,982,324,-356,0,3.09,1.02,-1.12,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.62,0.2,-0.22,0,,,,,,,,,,17h52m24.50s,268.102081,-30d32m54.20s,-30.5483894,2220,960,-830,,,,,,,,,
OGLE-2014-BLG-1722L b,OGLE-2014-BLG-1722L,1,2,Microlensing,2018,OGLE,0,,,,,1.5,0.6,-0.6,0,8.59,,,0,0.766,,,0,55.3,51.3,-33.1,0,0.174,0.161,-0.104,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.4,0.36,-0.24,0,,,,,,,,,,17h55m00.57s,268.75238,-31d28m08.6s,-31.4690552,6400,1280,-1870,,,,,,,,,
OGLE-2014-BLG-1722L c,OGLE-2014-BLG-1722L,1,2,Microlensing,2018,OGLE,0,,,,,1.7,0.7,-0.6,0,11,,,0,0.978,,,0,83.7,86.4,-51.2,0,0.263,0.272,-0.161,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.4,0.36,-0.24,0,,,,,,,,,,17h55m00.57s,268.75238,-31d28m08.6s,-31.4690552,6400,1280,-1870,,,,,,,,,
OGLE-2014-BLG-1760L b,OGLE-2014-BLG-1760L,1,1,Microlensing,2016,OGLE,0,,,,,1.75,0.34,-0.33,0,14.2,,,0,1.26,,,0,180,110,-83,0,0.56,0.34,-0.26,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.51,0.44,-0.28,0,,,,,,,,,,17h57m38.16s,269.408997,-28d57m47.37s,-28.9631577,6860,1110,-1110,,,,,,,,,
OGLE-2015-BLG-0051L b,OGLE-2015-BLG-0051L,1,1,Microlensing,2016,OGLE,0,,,,,0.73,0.08,-0.08,0,14,,,0,1.25,,,0,230,210,-20,0,0.72,0.65,-0.07,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.1,0.09,-0.01,0,,,,,,,,,,17h58m39.01s,269.662537,-28d01m54.1s,-28.0316944,8200,900,-900,,,,,,,,,
OGLE-2015-BLG-0954L b,OGLE-2015-BLG-0954L,1,1,Microlensing,2016,KMTNet,0,,,,,1.6,1.3,-0.7,0,13.1,,,0,1.17,,,0,1100,1200,-510,0,3.4,3.7,-1.6,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.3,0.34,-0.14,0,,,,,,,,,,18h00m44.24s,270.184333,-28d39m39.2s,-28.6608889,1200,1100,-500,,,,17.45,0.33,-0.53,,,
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,1,1,Microlensing,2016,OGLE,0,,,,,2.7,,,0,4.86,,,0,0.433,,,0,21,2,-2,0,0.066,0.006,-0.006,0,Mass,,,,,,,,,,,,,0,,,,,,,,,,0.38,0.04,-0.04,0,,,,,,,,,,17h55m01.02s,268.75425,-29d02m49.6s,-29.0471111,3300,,,,,,,,,,,
